atom,name,comp,analytic,numeric,diff
11,O6,x,41.09653316532149,41.09456160283571,0.001971562485778122
11,O6,y,-7.438209214670574,-7.429427386705356,-0.008781827965218092
11,O6,z,-21.74056355954206,-21.773865442287388,0.033301882745327305
23,H12,x,-19.996692904428475,-19.972911433751506,-0.023781470676969008
23,H12,y,-0.9526164746041835,-0.9463282422984776,-0.006288232305705965
23,H12,z,9.549232758986198,9.590551429209881,-0.041318670223683185
25,O1G,x,67.95634957623231,67.96838956315696,-0.01203998692464836
25,O1G,y,32.179263272422126,32.17858907360096,0.0006741988211658168
25,O1G,z,9.182454762793123,9.182880381331415,-0.00042561853829248264
24,PG,x,27.511465718631122,27.327310546934314,0.1841551716968084
24,PG,y,20.373544529324487,20.34883253670614,0.024711992618346557
24,PG,z,-79.31408094614264,-78.74533479789534,-0.5687461482472997
